  0%|                                                                                                                                                                                        | 0/618 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
 28%|████████████████████████████████████████████████▉                                                                                                                             | 174/618 [10:46<27:15,  3.68s/it]
{'loss': 0.0143, 'learning_rate': 5.2631578947368416e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -66.31224060058594, 'logps/chosen': -23.294404983520508, 'logits/rejected': -2.3597049713134766, 'logits/chosen': -2.311927318572998, 'loss/value': 0.01272922195494175, 'epoch': 0.05}
{'loss': 0.0147, 'learning_rate': 9.999931232202688e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.80450439453125, 'logps/chosen': -23.168750762939453, 'logits/rejected': -2.378002882003784, 'logits/chosen': -2.3305106163024902, 'loss/value': 0.013832340016961098, 'epoch': 0.1}
{'loss': 0.0158, 'learning_rate': 9.991681385120514e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.8925666809082, 'logps/chosen': -22.11577796936035, 'logits/rejected': -2.3722641468048096, 'logits/chosen': -2.3275744915008545, 'loss/value': 0.016126269474625587, 'epoch': 0.15}
{'loss': 0.0137, 'learning_rate': 9.969703976368368e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -60.88703536987305, 'logps/chosen': -21.376657485961914, 'logits/rejected': -2.3619959354400635, 'logits/chosen': -2.316960334777832, 'loss/value': 0.013891232199966908, 'epoch': 0.19}
{'loss': 0.0161, 'learning_rate': 9.934059445748132e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.7174186706543, 'logps/chosen': -24.490131378173828, 'logits/rejected': -2.3511531352996826, 'logits/chosen': -2.307039737701416, 'loss/value': 0.017354469746351242, 'epoch': 0.24}
{'loss': 0.0144, 'learning_rate': 9.884845818845684e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.124305725097656, 'logps/chosen': -24.064037322998047, 'logits/rejected': -2.3484771251678467, 'logits/chosen': -2.3036370277404785, 'loss/value': 0.015593061223626137, 'epoch': 0.29}
{'loss': 0.0138, 'learning_rate': 9.822198437451932e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.182228088378906, 'logps/chosen': -22.705839157104492, 'logits/rejected': -2.3780694007873535, 'logits/chosen': -2.3339943885803223, 'loss/value': 0.010844038799405098, 'epoch': 0.34}
{'loss': 0.0152, 'learning_rate': 9.74628958736102e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.20525360107422, 'logps/chosen': -24.068401336669922, 'logits/rejected': -2.3620171546936035, 'logits/chosen': -2.3176748752593994, 'loss/value': 0.015151751227676868, 'epoch': 0.39}
{'loss': 0.0153, 'learning_rate': 9.65732802456928e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.16436004638672, 'logps/chosen': -23.753719329833984, 'logits/rejected': -2.356815814971924, 'logits/chosen': -2.3130102157592773, 'loss/value': 0.016121746972203255, 'epoch': 0.44}
{'loss': 0.013, 'learning_rate': 9.555558401177925e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -65.19593811035156, 'logps/chosen': -23.674081802368164, 'logits/rejected': -2.3548192977905273, 'logits/chosen': -2.3084466457366943, 'loss/value': 0.013218199834227562, 'epoch': 0.49}
{'loss': 0.0144, 'learning_rate': 9.441260592578328e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.476280212402344, 'logps/chosen': -23.20132064819336, 'logits/rejected': -2.3653550148010254, 'logits/chosen': -2.32098650932312, 'loss/value': 0.013402166776359081, 'epoch': 0.53}
{'loss': 0.0158, 'learning_rate': 9.314748927770124e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -64.19673156738281, 'logps/chosen': -23.46865463256836, 'logits/rejected': -2.3568978309631348, 'logits/chosen': -2.312798261642456, 'loss/value': 0.014942732639610767, 'epoch': 0.58}
{'loss': 0.0153, 'learning_rate': 9.176371324928897e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -62.48081588745117, 'logps/chosen': -23.37444305419922, 'logits/rejected': -2.3623738288879395, 'logits/chosen': -2.3168725967407227, 'loss/value': 0.014365660957992077, 'epoch': 0.63}
{'loss': 0.0151, 'learning_rate': 9.026508334600689e-08, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -63.62995529174805, 'logps/chosen': -23.908056259155273, 'logits/rejected': -2.379871368408203, 'logits/chosen': -2.337273120880127, 'loss/value': 0.014277013950049877, 'epoch': 0.68}
